"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","UsdlK","FQ2IWe src","Jn12ke src","ah5Ghc"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Shopping+Fiori/data=!4m7!3m6!1s0x94c60cd1abcf4289:0x7c9b1b3c15c11af8!8m2!3d-23.1668699!4d-47.7566362!16s%2Fg%2F11bwkdxgcc!19sChIJiULPq9EMxpQR-BrBFTwbm3w?authuser=0&hl=pt-BR&rclk=1","Shopping Fiori","4,5","(322)","Loja de variedades","Â·","î¤´","Â·","Av. JoÃ£o Pilon, 957","Fechado","Â· Abre sex. Ã s 08:00","Â·","(15) 3384-1040","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFjTzVqFUZLsK1oIV37a4CJu3arMjcFSHsh4sxnU318F8i2ZR3AF-H2y8D4CHHOz51jr3wBrNoLRuJTHBZhdTOe16CmwfgZTKabByr2V-rcxnqOfijvwp9q49ZzxGZiF7koZo8o=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bom atendimento com grande variedades em produtos."""
"https://www.google.com/maps/place/Supermercado+Ki+J%C3%B3ia+-+Loja+2/data=!4m7!3m6!1s0x94c60d809497f069:0xa623446d6e6c10b9!8m2!3d-23.1756302!4d-47.7404332!16s%2Fg%2F11gj5pf1vz!19sChIJafCXlIANxpQRuRBsbm1EI6Y?authuser=0&hl=pt-BR&rclk=1","Supermercado Ki JÃ³ia - Loja 2","4,6","(518)","Supermercado","Â·","î¤´","Â·","Av. Pref. AntÃ´nio Souto, 1148","Fechado","Â· Abre sex. Ã s 07:00","Â·","(15) 3284-2586","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGw55un5gJceJ88aSKConi6ls-HI3lu4_Dandu6A_PDu5FWl4d0xPiJO64OhaFZZK27QK-srbBL4_Wxi6wXT0u6DTBlyRYxt4HKSoARrrD-3tOnsVc2MZYfRHjzI4y-qufUj5DJRw=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Variedade de produtos, aÃ§ougue com carnes frescas e bom preÃ§o!"""
"https://www.google.com/maps/place/Cerquifer+-+Loja+Autorizada+Stihl/data=!4m7!3m6!1s0x94c60cbfe4df47fb:0x42dc4ac5532470a6!8m2!3d-23.1747858!4d-47.7436271!16s%2Fg%2F11h145z1k!19sChIJ-0ff5L8MxpQRpnAkU8VK3EI?authuser=0&hl=pt-BR&rclk=1","Cerquifer - Loja Autorizada Stihl","4,7","(135)","Loja de ferramentas","Â·","î¤´","Â·","Av. Pref. AntÃ´nio Souto, 338","Fechado","Â· Abre sex. Ã s 07:30","Â·","(15) 3384-2561","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFtLry7OathV6FvC0UjZ1ycABRmh9DPZAzHDjbVj5gtMeMUl3mDD5m9I8HeTQvXyyO2E8V2fkRnoZ8DQBCmT1GJVdoBxhVNVFGaAVNC7pOr02w54ErYa2p9fSFnQkjW4LqujVXI=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Produtos de Ã³tima qualidade, excelente atendimento."""
"https://www.google.com/maps/place/Sr.+Quitandeiro+Hortifruti+e+Mercado+%28Cerquilho%29/data=!4m7!3m6!1s0x94c60d43d95fbf09:0xa56e2bc344ada556!8m2!3d-23.1755959!4d-47.741162!16s%2Fg%2F11h7f7dh_y!19sChIJCb9f2UMNxpQRVqWtRMMrbqU?authuser=0&hl=pt-BR&rclk=1","Sr. Quitandeiro Hortifruti e Mercado (Cerquilho)","4,6","(140)","Supermercado","Â·","î¤´","Â·","Av. Prefeito - Av. Pref. AntÃ´nio Souto, 83","Fechado","Â· Abre sex. Ã s 07:30","Â·","(15) 99285-9119","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHFMVLWoNX0FC3ue7hUZ-MqKvPS3re0jiIjtxkem_JCJbV3aPRNcshwZoQtS8961Nnqo8fmnslETiD2F9AtF9hN0vOv_j0siVxphEoJSxT33dke7nV_OURA1jN4CgDLvhVNZxllUQtVVnQA=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ãtimo atendimento, preÃ§os dentro do esperado para um"
"https://www.google.com/maps/place/Nova+Conquista+Utilidades+e+variedades/data=!4m7!3m6!1s0x94c60d65df1c9797:0x6169bb8a573458e0!8m2!3d-23.16464!4d-47.7398126!16s%2Fg%2F11ssdt9prb!19sChIJl5cc32UNxpQR4Fg0V4q7aWE?authuser=0&hl=pt-BR&rclk=1","Nova Conquista Utilidades e variedades","4,9","(79)","Loja de variedades","Â·","î¤´","Â·","Av. Brasil, 217","Fechado","Â· Abre sex. Ã s 08:00","Â·","(15) 99706-3777","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFNDwr8vUS41GcFIWsx6ancsM6Pa2q8EFCn3QTP399C3dpkSbP-NsLUWHp7HX2Y9DvSGRbS6gur8gATwJF1G39uqFm9VGEdPqc3D6Np06-2vqIa2kppbB9qeTRDzx4jsWCdM4shPw=w190-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Top super recomendo tem muita coisa linda e barata"""
"https://www.google.com/maps/place/Delta+Supermercados+-+Cerquilho/data=!4m7!3m6!1s0x94c60dd8f14c3513:0xae86589406439684!8m2!3d-23.1622241!4d-47.737427!16s%2Fg%2F11hds9lcm4!19sChIJEzVM8dgNxpQRhJZDBpRYhq4?authuser=0&hl=pt-BR&rclk=1","Delta Supermercados - Cerquilho","4,6","(2.518)","Supermercado","Â·","î¤´","Â·","Av. Dr. VinÃ­cio Gagliardi, 360","Fecha em breve","Â· 22:00 Â· Abre sex. Ã s 07:00","Â·","(19) 3403-2918","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGJiGJxYR1R7vVNIOwGptq3pPxRi4ZoMnd6fR7yXAOKs37QbJyYolqKGYdcnXUJQwh915Ns-uxjzBhipoFhsEEDSuzceyEwv1hBaBk8ctr4hlrHE9JRxN4HnGKFKoYrexbluYhD=w134-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""... acesso, amplo estabelecimento prÃ³prio,corredores amplos da"
"https://www.google.com/maps/place/CERQUILHO+MOTORES/data=!4m7!3m6!1s0x94c60d7562db814d:0x7e172c4b5dd56c6!8m2!3d-23.1780528!4d-47.7381637!16s%2Fg%2F11gjn_3frv!19sChIJTYHbYnUNxpQRxlbdtcRy4Qc?authuser=0&hl=pt-BR&rclk=1","CERQUILHO MOTORES","4,8","(6)","Loja de motores elÃ©tricos","Â·","","Av. Pres. Washington LuÃ­z, 1370","Â·","Fechado","Â· Abre sex. Ã s 07:30","","(15) 3284-2176","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHUFlYIJSnXKKfk3OUfxOYwwXH8-ZsVaU3xFANtRhRGcteQLYz_muo-Ow5Vn2zyp5xCqPrJJyjLlUiILgXd2mL7uQP8URSMcizYezN5KsfyhlIekQQlETMmCc6onLx97E-cG-t7_UPR2Pns=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pessoal muito prestativo"""
"https://www.google.com/maps/place/Coocerqui+-+Jo%C3%A3o+Pilon/data=!4m7!3m6!1s0x94c60cd396d391f1:0x556668d3b47eaf33!8m2!3d-23.1664375!4d-47.7605848!16s%2Fg%2F11cs13yrxx!19sChIJ8ZHTltMMxpQRM69-tNNoZlU?authuser=0&hl=pt-BR&rclk=1","Coocerqui - JoÃ£o Pilon","4,4","(2.108)","Supermercado","Â·","î¤´","Â·","Av. JoÃ£o Pilon, 1333","Fechado","Â· Abre sex. Ã s 08:00","Â·","(15) 3385-1120","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGHTOAsPF0GekNv_cKxZ1KF8WPkKaEFbzKGkvHp-aYg3cngA-QS_CNESF-gYddrRmJ9s1VpDSzYvA4_C9rW0ooQVBaLzGkDdTLC1G8rbyO7jrZcEaXyCeGY3EG1I_oKNOR6SETu=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Top, fÃ¡cil acesso,bons produtos e bom preÃ§o!"""
